N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
159,대한유화,"188,500",0,0.00%,"5,000","12,252","6,500",14.13,0,14.61,6.11,
160,아이에스동서,"39,500",0,0.00%,500,"12,203","30,893",5.26,0,20.89,6.10,
161,한화시스템,"10,950",0,0.00%,"5,000","12,070","110,230",1.68,0,15.51,8.15,
162,TIGER 단기통안채,"100,710",0,0.00%,0,"11,966","11,882",6.13,0,N/A,N/A,
163,KODEX 인버스,"5,415",0,0.00%,0,"11,816","218,200",1.78,0,N/A,N/A,
164,SK디스커버리,"62,000",0,0.00%,"5,000","11,803","19,038",10.78,0,4.82,11.52,
165,지누스,"81,700",0,0.00%,500,"11,770","14,407",19.26,0,14.87,26.32,
166,대웅제약,"101,000",0,0.00%,"2,500","11,702","11,587",4.61,0,-471.96,4.34,
167,진원생명과학,"25,900",0,0.00%,"1,000","11,588","44,740",11.19,0,-88.40,-28.50,
168,이노션,"57,800",0,0.00%,500,"11,560","20,000",28.97,0,17.30,9.88,
169,KODEX 200TR,"10,070",0,0.00%,0,"11,525","114,450",20.23,0,N/A,N/A,
170,SK네트웍스,"4,640",0,0.00%,"2,500","11,516","248,188",11.80,0,-39.32,-5.85,
171,DGB금융지주,"6,660",0,0.00%,"5,000","11,265","169,146",45.95,0,3.62,7.31,
172,현대미포조선,"28,200",0,0.00%,"5,000","11,264","39,942",12.50,0,18.85,2.31,
173,현대위아,"41,200",0,0.00%,"5,000","11,204","27,195",11.01,0,17.77,1.80,
174,한국콜마,"46,950",0,0.00%,500,"10,743","22,881",25.34,0,48.80,6.39,
175,신세계인터내셔날,"150,000",0,0.00%,"5,000","10,710","7,140",5.15,0,17.29,12.98,
176,롯데관광개발,"15,350",0,0.00%,500,"10,634","69,276",6.23,0,-23.29,-4.77,
177,녹십자홀딩스,"22,250",0,0.00%,500,"10,464","47,028",6.92,0,31.61,0.37,
178,SK가스,"113,000",0,0.00%,"5,000","10,430","9,230",8.53,0,3.00,9.85,
179,금호타이어,"3,610",0,0.00%,"5,000","10,370","287,260",4.23,0,-7.41,-3.30,
180,두산솔루스,"33,800",0,0.00%,100,"10,339","30,590",7.88,0,74.94,N/A,
181,코오롱인더,"37,500",0,0.00%,"5,000","10,117","26,979",15.57,0,6.45,1.58,
182,KODEX 코스닥150 레버리지,"11,050",0,0.00%,0,"9,901","89,600",1.24,0,N/A,N/A,
183,JB금융지주,"5,020",0,0.00%,"5,000","9,889","196,983",38.67,0,3.03,10.36,
184,파미셀,"16,100",0,0.00%,500,"9,653","59,959",7.55,0,157.84,8.78,
185,KODEX 단기채권PLUS,"102,755",0,0.00%,0,"9,509","9,254",0.00,0,N/A,N/A,
186,코리안리,"7,890",0,0.00%,500,"9,497","120,369",27.53,0,5.64,8.04,
187,휴켐스,"23,000",0,0.00%,"1,000","9,402","40,879",8.73,0,15.10,10.82,
188,영풍,"506,000",0,0.00%,"5,000","9,321","1,842",4.53,0,4.17,7.40,
189,아시아나항공,"4,145",0,0.00%,"5,000","9,253","223,235",7.46,0,-0.84,-90.67,
190,롯데리츠,"5,380",0,0.00%,500,"9,252","171,969",9.10,0,59.78,1.80,
191,KBSTAR 200,"31,450",0,0.00%,0,"9,246","29,400",0.13,0,N/A,N/A,
192,쿠쿠홈시스,"40,500",0,0.00%,100,"9,087","22,437",4.79,0,11.86,16.10,
193,다우기술,"20,150",0,0.00%,500,"9,041","44,867",23.05,0,4.75,14.62,
194,현대홈쇼핑,"75,300",0,0.00%,"5,000","9,036","12,000",24.25,0,11.65,5.03,
195,화승엔터프라이즈,"14,800",0,0.00%,500,"8,959","60,537",3.93,0,16.09,19.87,
196,대상,"25,450",0,0.00%,"1,000","8,818","34,648",17.61,0,6.80,11.17,
197,티와이홀딩스,"23,300",0,0.00%,500,"8,738","37,501",7.04,0,N/A,N/A,
198,제이알글로벌리츠,"5,200",0,0.00%,"1,000","8,611","165,600",0.15,0,N/A,-0.05,
199,후성,"9,030",0,0.00%,500,"8,362","92,607",4.20,0,-602.00,3.85,
200,SK디앤디,"43,900",0,0.00%,"1,000","8,337","18,990",4.85,0,9.03,12.66,
